slang,baku,konteks
kerrrrennnn,keren,Aaaaaa....suaranya keren abizzzz kak ariel....kerrrrennnn...alwayz support you
sayaa,saya,kayak pacar sayaa wendel's ?
pengen,pengin,Pengen duet Tapi kapan?
kpan,kapan,Noah kpan kemedan?
bgt,banget,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"
sma,sama,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"
sdkit,sedikit,"Jauh bgt geo sma boriel, mirip suaranya sdkit paling ya"
bngt,banget,Ku suka bngt lgu nya
lgu,lagu,Ku suka bngt lgu nya
bener2,benar-benar,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...
kharismanya,karismanya,@ariel_nazril_irham bener2 kharismanya harga mati..!! Senyumnya...nyengirnya...gayanya pas di panggung...
aq,aku,Lagu kesukaan aq banget @ariel_nazril_irham
yg,yang,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi
jdi,jadi,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi
lgi,lagi,Kalau suara nya pada mirip  apa nya yg jdi istimewa lgi
gk,enggak,Keren gk no @mutiaranovashadiqah
kek,kayak,Kek gua hahahaha @mutiaranovashadiqah
lgunya,lagunya,Ini judul lgunya apa ya??
kpan,kapan,Kak Kpan Konser Di Surabaya
kereeeeennnn,keren,Kereeeeennnn boriel
nyamain,menyamakan,@ariel_nazril_irham tidak ada yg bisa nyamain . Mentok
slalu,selalu,Rokok slalu membuat ariel semakin lakik
lakik,laki,Rokok slalu membuat ariel semakin lakik
siippp,sip,Siippp siippp
bkn,bukan,Iya bener itu di korea bkn
nyangka,menyangka,Aku ga nyangka itu korea
bangettt,banget,Indah bangettt ???
kereeen,keren,Kereeen banget ?
wihhhhhh,wih,Wihhhhhh...
tp,tapi,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD"
inget,ingat,"Keren!? tp jadi inget nya lirik lagu ini ""we can't stop stop stop yeogin PARTY time..."" #SNSD"
bingitsss,banget,Snsd bingitsss
dmn,dimana,Dmn itu air nya bird bgt
bird,biru,Dmn itu air nya bird bgt
kaloo,kalo,Kaloo Kelewat Gimna Tuuh
gimna,bagaimana,Kaloo Kelewat Gimna Tuuh
tuuh,tuh,Kaloo Kelewat Gimna Tuuh
nyebur,mencebur,Kalo kelewat ya nyebur
yng,yang,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak
dbuat,dibuat,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak
kn,kan,Itu kn laut atau kolam renang yng dbuat syuting nya snsd ya kn kak
org,orang,"Mana mungkin shot di bali, rame org"
pingin,pengin,@afahalwa pingin aku
bgt,banget,Mau bgt kagitu @jusinidelashlifah
tu,itu,Dimana tu ka
bangcat,bangsat,Ko bangcat yha :') @bilavkcb
yha,ya,Ko bangcat yha :') @bilavkcb
waoohhh,wah,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe"
pngn,pengin,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe"
tmpt,tempat,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe"
dhe,deh,"Waoohhh indah nya,jdi pngn ke tmpt itu dhe"
indahhh,indah,Indahhh bgttt di mana tuhh
bgttt,banget,Indahhh bgttt di mana tuhh
tuhh,tuh,Indahhh bgttt di mana tuhh
berarto,berarti,Lh-lho berarto snsd ke indo? @bethaniamaureen
ga,enggak,"ga cell itu sg ndk bali, sg py e snsd ternyata ndk thailand namae lek ga salah koh samui island"
aminn,amin,Aminn
aamiin,amin,Aamiin
amiiinn,amin,Amiiinn
dgn,dengan,"Di antara 77 korban AIRASIA yg warga Surabaya, 6 orang ( 5 dewasa, 1 anak SD, dalam 1 keluarga) adalah tetangga saya, Semoga arwah mereka semua diterima dgn baik di sisi Tuhan,, Amin"
aminnnn2,amin-amin,Aminnnn2 @fendi_dbonno9414
amiin,amin,Amiin ya robbal alamin
aamiin,amin,Aamiin..
amiiiin,amin,Amiiiin ya robal alamin.
amiin,amin,Amiin
aminnn,amin,Aminnn
amiend,amien,Amiend ya Allah
yaaa,ya,@isafitriani @nisaayuasmara @unie_emilia @nabilanatasya9 @sasmirayanti mau kalung murah & cantik? cek ig kita yaaa??
ameen,amin,Ameen
aminnnn,amin,Aminnnn
amiiinnn,amin,Amiiinnn
kek,kayak,yang kek perut aku ya??? @mfahmifachrudin
ngomong,mengomong,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?
inget,ingat,@fawwaz_said.11 lu ngomong jorok kagak inget dosa?
mamer,memamerkan,Lo mamer aurat lebih dosa keles
keles,kali,Lo mamer aurat lebih dosa keles
jelase,jelas,Iki lebih jelase @oktaviajr
liat,lihat,Liat loh uwakk @graciags
uwakk,uwak,Liat loh uwakk @graciags
ntar,entar,@virakysh ntar kita bs gini
bs,bisa,@virakysh ntar kita bs gini
gini,begini,@virakysh ntar kita bs gini
jgn,jangan,@xocacola adek jgn sampe masuk angin yaa ?
sampe,sampai,@xocacola adek jgn sampe masuk angin yaa ?
aq,aku,@xocacola adek jgn sampe masuk angin yaa ?
salfok,salah fokus,Salfok:v @fad.fdh @auliyya_naural
njir,anjir,Njir pink haha @standy.gigih
piiink,pink,Piiink
astgfrullah,astagfirullah,astgfrullah?
ko,kok,Aneh ko cd di perlihatkan
cd,celana dalam,Aneh ko cd di perlihatkan
gbs,enggak bisa,Gbs bhs inggris ?
bhs,bahasa,Gbs bhs inggris ?
yaaaaaa,ya,Cantiknya Yaaaaaa
gak,enggak,Gak maksud
bangshad,bangsat,Bangshad @salisaokta
yaa,ya,Selow lagi proses yaa? @geareani08
stagahhhh,astaga,Kakinya stagahhhh
kpn,kapan,"Dinda otw,kon kpn @sakinaabsyn12"
iooo,lo,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
dy,dia,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
d,ada,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
mslh,masalah,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
qt,kita,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
jdi,jadi,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
plampiasannn,pelampiasan,Iooo? dy kw d mslh laeng in kong qt jdi plampiasannn?? @juvinkainka
masalahh,masalah,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"
tohh,toh,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"
inghinn,ingin,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"
dhi,di,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"
mengherthii,mengerti,"Masalahh opo tohh? ,,fhebyy inghinn dhi mengherthii @fabiolaamj"
yanckh,yang,Febhi yanckh chelalyyu therchakitty @juvinkainka
chelalyyu,selalu,Febhi yanckh chelalyyu therchakitty @juvinkainka
therchakitty,tersakiti,Febhi yanckh chelalyyu therchakitty @juvinkainka
mauuuuu,mau,Ini yang gua mauuuuu ?? @raquellyndaf @nisaaxs
kaliii,kali,Mau gtu juga kaliii @damanikyoga
bangat,banget,Bangat ? @nadyaronhaziza
bkin,bikin,Kak bkin video mail time bareng kak cassy dongg
dongg,dong,Kak bkin video mail time bareng kak cassy dongg
yokkk,yuk,Yokkk buat @salsa_nafita @ersakusumara
gini,begini,Gini yu ma wkk @nurrachmaniahm
yu,yuk,Gini yu ma wkk @nurrachmaniahm
sweger,segar,Sweger @irfaul.izzi
kereeen,keren,@hokyintan kereeen
gantengg,ganteng,"@sabithanurul24 @nadia_evelyn09 gantengg banget,pengen!"
bingiit,banget,cocok.bingiit deh sama baby
gak,enggak,gak mau kebukaaa @intansetyawatii
kebukaaa,terbuka,gak mau kebukaaa @intansetyawatii
tpi,tapi,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua..."
keliatan,kelihatan,"Mirip, memang. Tpi MENURUT PANDANGAN SAYA tetap cantikan  Ary ... wajah Ary / @arianagrande cantik, manis, juga imut. apalagi kala dia ketawa ada lesung pipit nya... kalau @claurakiehl cantik, cuman MENURUT SAYA tulang pipi nya terlalu keliatan, jadi kesannya tua..."
yakk,ya,Ini Ariana apa cincha loowrrr ????? Miripp banget yakk ??
kayakk,kayak,Kayakk ariana asliii
asliii,asli,Kayakk ariana asliii
kyk,kayak,Kyk ariana grande..cntiknya
cntiknya,cantiknya,Kyk ariana grande..cntiknya
bat,banget,Mirip bat @arianagrande
ga,enggak,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"
ngeliatnya,melihatnya,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"
sll,selalu,"cinta Mirip Ariana Grande,,,Cantik ga bosan Ngeliatnya,,,Sehat sll.cinta"
bet,banget,Ariana grande bet njerr @rmutiaram
njerr,anjir,Ariana grande bet njerr @rmutiaram
bingiiittttzzzz,banget,Arianaaa bingiiittttzzzz......
bgt,banget,Mirip @arianagrande bgt!!!! ??
k,kak,K Cinta mirip ariana grande klo lg kaya gini..
klo,kalo,K Cinta mirip ariana grande klo lg kaya gini..
lg,lagi,K Cinta mirip ariana grande klo lg kaya gini..
dooong,dong,Selfie bareng @arianagrande dooong
masi,masih,Masi cantikan @claurakiehl  daripada ari.. ari is toooooo cute i think...
gni,begini,Sis @ridhanisabrina wisudamu kaya gni aja simple
kek,kayak,Jilbabnya kek gini aja @andinadarsono
gini,begini,Jilbabnya kek gini aja @andinadarsono
aja,saja,Jilbabnya kek gini aja @andinadarsono
udah,sudah,Aku udah ngescreenshot ini lama bgt padahal wkwk @ayichanja
hdk,hendak,Hdk yg simple kyne z @fvtrisna
yg,yang,Hdk yg simple kyne z @fvtrisna
jugaa,juga,Itu simple banget kebayane jugaa wkwk @ridhanisabrina
mksud,maksud,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna
aj,saja,Mksud x jilbab n makeup x simple.. Cuma 1 aj ka.. Dia cantik gue kagak.. Sesimpel itu ? @fvtrisna
tetep,tetap,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
tp,tapi,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
mbakx,mbaknya,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
syantik,cantik,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
syantik,cantik,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
kite,kita,"Tetep call saya mah, tp ya itu mbakx senatural n simpel itu aja syantik, la kite @una_wardhani hahahhaa"
pa,apa,Pa kabar bu?? ??? @fvtrisna
mksd,maksud,"Apa mksd mengirimi foto ini, kyne kah kena model seragam kami @ana_rrr29 @rocky_lin"
bejilbbnya,berjilbabnya,Kd hahaaa... bagus sederhana bejilbbnya kytu aja te @vithapriani @rocky_lin
masio,masih,Lek selebgram kok mesti apik apik ae yo lek masio simple jilbab e @shovamardia
yahhh,ya,Iya yahhh @anifatasha
makasih,terima kasih,Beb... aku mau make up se soft ini aja ya @syaekaokt makasih banyak beb
leh,boleh,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?
ugaaa,juga,@phebybahar leh ugaaa.. warna nya putih tulang + merah maroon yaa? atau silver + item?
yah,ya,@vaaaasola8 yah mending putih tulang + maroon
jerewi,jerawat,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha
ilang,hilang,ini boleh jg ya? @dyzkafadela oke jerewi nanti ilang haha
jilbabnyaah,jilbabnya,Ntih ini yg opi bilang model jilbabnyaah tadi @rabiahidayantiarnan @megaiskanti @mutiaapriyeni @rozaliafransisca
kek,kayak,"Ya piiik, kek gini aja dah cantik,. @novitaresti @rozaliafransisca @mutiaapriyeni"
yuuuk,yuk,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??
warnaaa,warna,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??
punyaaa,punya,Cek ig kami yuuuk banyak hijab cantik berbagai warnaaa ? dengan kualitas oke punyaaa ??
cantiik,cantik,Cantiik
sukaaak,suka,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33
kebayanyaa,kebayanya,Sukaaak kebayanyaaa dan mua nya @tlatifaah :33
mantes,memantas,Mantes di kamu euy potongan kitu mah @tlatifaah  mun aku mah katinggali lemakna mereeen wkwkwk
merekaaaa,mereka,Lucu merekaaaa @odywoody
jugaaa,juga,"Iya udah lama, udah lama gak nonton mereka jugaaa @isnaarrifahh"
gilaaaa,gila,Cute gilaaaa ???? @n.ainnur
tiga2nya,tiga-tiganya,"Triplets, tiga2nya. Sm Appa Ilkook jg @krtykck"
lucuu,lucu,@yolandinasphr @hafidha6699 lucuu banget aaaak
emessss,gemas,Emessss @honiaisya
ucullllll,lucu,Ucullllll @thasyaanandita
jdi,jadi,"Kangen mereka, pengganti triplets sumpah gk lucu bgt, jdi males nonton TROS"
males,malas,"Kangen mereka, pengganti triplets sumpah gk lucu bgt, jdi males nonton TROS"
bangeettt,banget,Liattt!! Triplets masih unyu lucu bangeettt gemesshh?? @defierfatimah
gemesshh,gemas,Liattt!! Triplets masih unyu lucu bangeettt gemesshh?? @defierfatimah
ngomong,mengomong,@ladysirait anak ini ngomong apaaa ya ampuunn
apaaa,apa,@ladysirait anak ini ngomong apaaa ya ampuunn
ampuunn,ampun,@ladysirait anak ini ngomong apaaa ya ampuunn
pengen,pengin,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
ciuuuummmm,cium,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
mbil,sambil,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
ngmng,mengomong,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
ngemeng,mengomong,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
epe,apa,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
seehh,sih,"Pengen ciuuuummmm mbil ngmng 'oposehh, ngemeng epe seehh' ?? @blacktiak"
yank,sayang,@mochmalle yank mirip winter banget
ucul,lucu,@assailaputri_29 ucul yahh kek gw
yahh,ya,@assailaputri_29 ucul yahh kek gw
kek,kayak,@assailaputri_29 ucul yahh kek gw
gw,gue,@assailaputri_29 ucul yahh kek gw
lucuu,lucu,Lucuu @anamaghfiroh82  @anisanelly  @_amelia_putri
ngakak,mengakak,Aku aja ngakak ?? @_amelia_putri
astagfirrullah,astagfirullah,"Astagfirrullah te-, @anamaghfiroh82"
bkn,bukan,Bkn anjing itu memang tpi kucing @anisanelly
tpi,tapi,Bkn anjing itu memang tpi kucing @anisanelly
suerrr,suer,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???"
gk,enggak,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???"
mnta,minta,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???"
lg,lagi,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???"
syg,sayang,"@aliya_373 pengen ini,, pengen ini.. Suerrr deh ?? gk akan mnta yg lain lg syg ???"
ntik,cantik,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma
pny,punya,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma
dapet,dapat,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma
kek,kayak,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma
gini,begini,Ntik lek anjing e kko pny anak dapet kek gini !! @evaristakharisma
suru,suruh,Ya aurly suru cari pacar sek too wkwkwk @adhy.1993
lucuuuu,lucu,Lucuuuu ??? @fikohwidodo @ramadiantifanny
ketawakkkk,ketawa,Huahahahhahahahahahahaha ...... saket perutku ketawakkkk @ayundadharmawan
kyanya,kayanya,"Itu bneran suara anjingnya,bkn kyanya tuh @andria_riasih"
bnget,banget,@aeinieaeinie iya mba... Hihihi lucu bnget ya
nakutin,menakutkan,@amaliamandasari untuk nakutin malingg cocokk niihh wkwkkw
malingg,maling,@amaliamandasari untuk nakutin malingg cocokk niihh wkwkkw
cocokk,cocok,@amaliamandasari untuk nakutin malingg cocokk niihh wkwkkw
niihh,nih,@amaliamandasari untuk nakutin malingg cocokk niihh wkwkkw
imutttttt,imut,Aaaaa imutttttt aku mau satuuuuu ????
satuuuuu,satu,Aaaaa imutttttt aku mau satuuuuu ????
sesekk,sesak,Sesekk Nafass mas nick sumpah. Love you bgtt lah.. ?
nafass,nafas,Sesekk Nafass mas nick sumpah. Love you bgtt lah.. ?
bgtt,banget,Sesekk Nafass mas nick sumpah. Love you bgtt lah.. ?
cintaaaaaaa,cinta,Wahai pujangga cintaaaaaaa? @sakinaahsly @nicholassaputra
lucuk,lucu,Komennya lucuk lucuk @wedari
lucuk,lucu,Komennya lucuk lucuk @wedari
ma,sama,@heni.hasibuan  ngefans ma om nicholas dah lama
duluu,dulu,Sama.. aku juga dari duluu.. dari dia masih kinclong mukanya.. sampe dia jadi gagah dan tangguh kayak gini.. ??? @aries6737
megang,memegang,Roti sobeknya pengen bgt bisa megang ?????
ngakak,mengakak,@treswaluya @sukma.hidayat WKWKWKWKWKWKWKW ngakak tengah malam
kawinin,mengawini,"elaaaaaaah kalo gini caranya mah, minta kawinin wqwqwq"
liatin,memperlihatkan,baru kali ini dia mau liatin muka ny d ig @farydha_kenchon ??
ny,nya,baru kali ini dia mau liatin muka ny d ig @farydha_kenchon ??
d,di,baru kali ini dia mau liatin muka ny d ig @farydha_kenchon ??
bdan,badan,"ganteng euy , bdan nyaaa gemesin @dhillee"
nyaaa,nya,"ganteng euy , bdan nyaaa gemesin @dhillee"
gemesin,menggemaskan,"ganteng euy , bdan nyaaa gemesin @dhillee"
daah,dah,Aku kiri kanan yg mana aja daah ??? @risnaais
fotoin,memfoto,"Pasti yang fotoin nya ka @jscmila ya ngaku aja kaaa, hahahhaaah"
ngaku,mengaku,"Pasti yang fotoin nya ka @jscmila ya ngaku aja kaaa, hahahhaaah"
